fips,male_total,male_disabled_under_5,male_nondisabled_under_5,male_disabled_5_to_17,male_nondisabled_5_to_17,male_disabled_18_to_34,male_nondisabled_18_to_34,male_disabled_35_to_64,male_nondisabled_35_to_64,male_disabled_65_to_74,male_nondisabled_65_to_74,male_disabled_75_plus,male_nondisabled_75_plus,female_total,female_disabled_under_5,female_nondisabled_under_5,female_disabled_5_to_17,female_nondisabled_5_to_17,female_disabled_18_to_34,female_nondisabled_18_to_34,female_disabled_35_to_64,female_nondisabled_35_to_64,female_disabled_65_to_74,female_nondisabled_65_to_74,female_disabled_75_plus,female_nondisabled_75_plus
42101016400,2068.0,0.0,128.0,188.0,303.0,87.0,546.0,262.0,425.0,27.0,74.0,18.0,10.0,2572.0,0.0,190.0,45.0,271.0,113.0,641.0,379.0,627.0,71.0,112.0,91.0,32.0
42101031502,2161.0,0.0,190.0,9.0,375.0,5.0,547.0,136.0,670.0,53.0,115.0,10.0,51.0,2122.0,0.0,151.0,0.0,345.0,97.0,542.0,167.0,582.0,29.0,108.0,53.0,48.0
42101031401,3461.0,0.0,358.0,24.0,527.0,203.0,940.0,120.0,1132.0,62.0,50.0,45.0,0.0,4156.0,0.0,511.0,20.0,751.0,55.0,975.0,376.0,1260.0,35.0,119.0,54.0,0.0
42101033701,3057.0,0.0,182.0,48.0,689.0,57.0,643.0,120.0,729.0,111.0,294.0,154.0,30.0,3106.0,0.0,67.0,12.0,489.0,35.0,531.0,313.0,938.0,221.0,287.0,172.0,41.0
42101033702,2444.0,0.0,84.0,0.0,297.0,27.0,527.0,150.0,823.0,43.0,218.0,155.0,120.0,2842.0,0.0,31.0,48.0,512.0,0.0,650.0,113.0,1159.0,59.0,124.0,120.0,26.0
42101027901,2034.0,0.0,211.0,17.0,396.0,31.0,513.0,168.0,498.0,21.0,67.0,42.0,70.0,2249.0,0.0,153.0,0.0,295.0,55.0,631.0,178.0,611.0,90.0,109.0,84.0,43.0
42101031402,2589.0,0.0,202.0,29.0,547.0,47.0,594.0,53.0,893.0,79.0,67.0,35.0,43.0,3391.0,0.0,201.0,24.0,650.0,1.0,856.0,223.0,1053.0,47.0,96.0,196.0,44.0
42101016701,1319.0,0.0,96.0,41.0,153.0,62.0,263.0,86.0,433.0,40.0,62.0,55.0,28.0,1517.0,0.0,110.0,64.0,245.0,6.0,280.0,119.0,535.0,21.0,35.0,78.0,24.0
42101016702,1026.0,0.0,72.0,13.0,182.0,40.0,150.0,45.0,401.0,39.0,61.0,23.0,0.0,1616.0,0.0,92.0,15.0,185.0,30.0,415.0,169.0,446.0,6.0,85.0,110.0,63.0
42101027902,2105.0,20.0,124.0,5.0,138.0,80.0,1145.0,94.0,323.0,25.0,66.0,54.0,31.0,2141.0,0.0,14.0,15.0,149.0,43.0,1349.0,143.0,232.0,63.0,68.0,41.0,24.0
42101008101,1207.0,0.0,101.0,0.0,133.0,70.0,304.0,103.0,318.0,57.0,41.0,22.0,58.0,1677.0,0.0,128.0,27.0,235.0,0.0,584.0,221.0,241.0,0.0,107.0,51.0,83.0
42101980300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101036900,2589.0,0.0,58.0,0.0,16.0,76.0,2199.0,15.0,208.0,0.0,6.0,11.0,0.0,2907.0,0.0,83.0,0.0,1.0,24.0,2612.0,7.0,147.0,11.0,22.0,0.0,0.0
42101037300,2638.0,0.0,174.0,0.0,264.0,56.0,505.0,95.0,881.0,106.0,349.0,121.0,87.0,2936.0,0.0,75.0,0.0,259.0,34.0,769.0,140.0,865.0,103.0,381.0,190.0,120.0
42101037200,2157.0,0.0,135.0,10.0,317.0,172.0,239.0,137.0,774.0,29.0,201.0,27.0,116.0,2363.0,0.0,67.0,7.0,230.0,46.0,382.0,214.0,854.0,58.0,234.0,154.0,117.0
42101038300,1239.0,0.0,84.0,25.0,115.0,171.0,271.0,234.0,218.0,55.0,31.0,8.0,27.0,1744.0,0.0,154.0,107.0,270.0,143.0,436.0,132.0,364.0,49.0,19.0,51.0,19.0
42101039000,4436.0,0.0,876.0,54.0,923.0,314.0,931.0,295.0,850.0,35.0,63.0,48.0,47.0,5030.0,0.0,406.0,224.0,1037.0,68.0,1054.0,526.0,1282.0,190.0,73.0,82.0,88.0
42101037800,1450.0,0.0,44.0,0.0,55.0,5.0,586.0,140.0,504.0,9.0,78.0,29.0,0.0,1186.0,0.0,156.0,0.0,59.0,62.0,314.0,121.0,295.0,78.0,31.0,34.0,36.0
42101037700,2628.0,0.0,19.0,0.0,254.0,28.0,1578.0,265.0,392.0,38.0,5.0,28.0,21.0,2904.0,0.0,96.0,18.0,296.0,92.0,1785.0,195.0,317.0,31.0,38.0,24.0,12.0
42101008701,2234.0,0.0,150.0,0.0,215.0,63.0,1169.0,28.0,556.0,10.0,43.0,0.0,0.0,2122.0,0.0,247.0,0.0,48.0,95.0,1136.0,80.0,458.0,0.0,21.0,20.0,17.0
42101008102,2717.0,0.0,204.0,57.0,559.0,47.0,672.0,93.0,868.0,6.0,133.0,29.0,49.0,3046.0,0.0,150.0,0.0,448.0,37.0,834.0,218.0,981.0,48.0,110.0,66.0,154.0
42101008602,1144.0,0.0,94.0,0.0,70.0,24.0,438.0,85.0,239.0,9.0,155.0,11.0,19.0,1295.0,0.0,86.0,0.0,184.0,16.0,406.0,59.0,359.0,77.0,30.0,72.0,6.0
42101037500,2041.0,0.0,169.0,33.0,338.0,45.0,646.0,78.0,548.0,15.0,116.0,36.0,17.0,2159.0,14.0,153.0,8.0,270.0,0.0,658.0,94.0,707.0,64.0,83.0,63.0,45.0
42101980800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101018002,3329.0,0.0,493.0,29.0,430.0,13.0,643.0,433.0,984.0,0.0,141.0,137.0,26.0,2707.0,0.0,217.0,0.0,274.0,132.0,584.0,270.0,862.0,89.0,123.0,130.0,26.0
42101008801,1011.0,0.0,0.0,0.0,6.0,20.0,952.0,19.0,14.0,0.0,0.0,0.0,0.0,1309.0,0.0,0.0,0.0,0.0,18.0,1276.0,5.0,10.0,0.0,0.0,0.0,0.0
42101980100,63.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,19.0,0.0,14.0,4.0,4.0,35.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,11.0,0.0,8.0,0.0,4.0
42101007102,2218.0,0.0,216.0,0.0,480.0,115.0,457.0,197.0,554.0,44.0,117.0,22.0,16.0,2726.0,0.0,156.0,14.0,231.0,84.0,800.0,298.0,676.0,75.0,184.0,48.0,160.0
