fips,lowest_quintile,second_quintile,third_quintile,fourth_quintile,highest_quintile
42101008701,5803.0,24746.0,44201.0,63008.0,122910.0
42101008102,7160.0,18060.0,29465.0,42662.0,90557.0
42101008602,5576.0,27381.0,44586.0,71443.0,110915.0
42101037500,3235.0,31363.0,61412.0,99304.0,224921.0
42101980800,,,,,
42101018002,8843.0,25173.0,42576.0,80879.0,131286.0
42101008801,,,,,
42101980100,,,,,
42101007102,6464.0,18464.0,31304.0,48818.0,84264.0
42101008802,0.0,3918.0,20794.0,37768.0,95611.0
42101008702,2958.0,20903.0,35928.0,64116.0,147184.0
42101012201,3096.0,11990.0,25799.0,48187.0,118111.0
42101009801,11401.0,34439.0,46564.0,70812.0,160606.0
42101007101,5691.0,14189.0,25221.0,39552.0,71137.0
42101002801,8621.0,29103.0,46828.0,70341.0,133017.0
42101980500,,,,,
42101000801,15139.0,52879.0,100029.0,156155.0,294025.0
42101001101,14318.0,38279.0,69829.0,129067.0,257821.0
42101027402,3986.0,19292.0,35788.0,55264.0,94154.0
42101008601,10066.0,26782.0,44490.0,75155.0,180936.0
42101036502,16372.0,45747.0,80940.0,123128.0,173384.0
42101036700,21015.0,59814.0,95555.0,147632.0,312274.0
42101037600,4598.0,20623.0,49497.0,89009.0,187865.0
42101038600,36553.0,83335.0,149763.0,249217.0,677454.0
42101038900,4852.0,16726.0,33349.0,65133.0,137331.0
42101038500,16405.0,43852.0,87072.0,165829.0,489749.0
42101038700,30146.0,85076.0,140146.0,207415.0,427464.0
42101038800,12638.0,45161.0,73728.0,125906.0,336932.0
42101980000,,,,,
42101010000,6259.0,21823.0,37472.0,60100.0,107702.0
42101010100,10806.0,25265.0,38736.0,62267.0,127946.0
42101010700,257.0,9410.0,19414.0,40535.0,75905.0
42101013300,7480.0,31555.0,58733.0,89365.0,189879.0
42101013500,12401.0,39623.0,64068.0,106888.0,236345.0
42101014300,21557.0,47191.0,74692.0,118976.0,244353.0
42101014600,5805.0,18612.0,32393.0,52348.0,109009.0
42101016902,6163.0,12836.0,20294.0,32926.0,80444.0
42101017100,2609.0,15015.0,28797.0,46228.0,94067.0
42101000700,5265.0,30578.0,54884.0,101209.0,302043.0
42101001800,21556.0,53333.0,89542.0,144170.0,296828.0
42101002100,10273.0,27827.0,51179.0,87506.0,164436.0
42101025700,14526.0,36247.0,56049.0,83921.0,169786.0
42101021100,12801.0,39115.0,66947.0,113927.0,172439.0
42101026100,6426.0,23182.0,37398.0,60714.0,122289.0
42101027200,7504.0,27995.0,44666.0,61696.0,102984.0
42101027500,1709.0,18189.0,41430.0,65124.0,108542.0
42101028000,2349.0,13212.0,21536.0,38869.0,89245.0
42101029400,5918.0,15157.0,21212.0,30772.0,61892.0
42101030000,5068.0,16930.0,28321.0,48544.0,93188.0
42101018800,5448.0,13769.0,26266.0,44558.0,82403.0
42101019100,8351.0,21987.0,33604.0,50728.0,90533.0
42101019200,7278.0,15858.0,24926.0,40860.0,85776.0
42101001700,30052.0,70542.0,105180.0,167238.0,365035.0
42101002500,11790.0,30168.0,61645.0,99855.0,249078.0
42101003300,3804.0,16796.0,31020.0,47555.0,102051.0
42101004002,14721.0,34069.0,56490.0,78712.0,167996.0
42101004201,12198.0,29860.0,49368.0,85872.0,156401.0
42101005600,4112.0,9250.0,21061.0,40849.0,98990.0
42101006700,2969.0,14415.0,31861.0,52159.0,87354.0
42101007000,8333.0,16980.0,29021.0,44396.0,79855.0
42101008000,6360.0,22022.0,40944.0,72643.0,182402.0
42101028800,1112.0,12977.0,24329.0,38420.0,95576.0
42101029800,4154.0,15287.0,27042.0,48784.0,90548.0
42101030900,12174.0,25226.0,42993.0,68018.0,121212.0
42101032000,12468.0,28773.0,43959.0,60873.0,124934.0
42101034200,13525.0,35379.0,58059.0,92513.0,163603.0
42101001500,17362.0,42339.0,64532.0,120111.0,273774.0
42101002900,9400.0,34645.0,53439.0,96736.0,222104.0
42101003702,9114.0,20593.0,34572.0,50819.0,96096.0
42101014000,1565.0,14996.0,33692.0,54626.0,104754.0
42101014100,,,,,
42101014400,5321.0,23140.0,56895.0,90300.0,169102.0
42101015200,2476.0,9148.0,19741.0,33419.0,74883.0
42101015300,134.0,5458.0,12364.0,23343.0,54727.0
42101015700,5190.0,25878.0,41932.0,65696.0,117705.0
42101016000,12734.0,36435.0,56507.0,86214.0,155830.0
42101016800,528.0,7442.0,15775.0,34947.0,80026.0
42101020200,0.0,8063.0,15627.0,26032.0,64617.0
42101020300,358.0,11698.0,20737.0,35540.0,69527.0
42101020800,1700.0,18643.0,45782.0,78409.0,229529.0
42101020900,16888.0,36697.0,57993.0,95069.0,169782.0
42101020700,10448.0,34968.0,69128.0,114677.0,207682.0
42101018400,9839.0,30870.0,51745.0,78262.0,151735.0
42101014800,3622.0,8981.0,15491.0,28548.0,71945.0
