fips,total_population
42101018800,8891.0
42101019100,8712.0
42101019200,8899.0
42101001700,2956.0
42101002500,3955.0
42101003300,6174.0
42101004002,5035.0
42101004201,5388.0
42101005600,970.0
42101006700,6735.0
42101007000,3178.0
42101008000,4155.0
42101028800,4151.0
42101029800,5106.0
42101030900,4439.0
42101032000,6881.0
42101034200,3654.0
42101001500,2929.0
42101002900,4072.0
42101003702,4226.0
42101014000,3354.0
42101014100,2695.0
42101014400,4071.0
42101015200,5861.0
42101015300,3698.0
42101015700,2738.0
42101016000,6231.0
42101016800,3521.0
42101020200,4158.0
42101020300,2786.0
42101020800,2226.0
42101020900,2559.0
42101020700,5849.0
42101018400,2241.0
42101014800,967.0
42101014900,3115.0
42101011300,3311.0
42101011400,7292.0
42101011700,1998.0
42101013100,1664.0
42101013800,1840.0
42101016200,2512.0
42101017900,6382.0
42101018300,3985.0
42101019000,8220.0
42101020600,1577.0
42101021500,3855.0
42101021600,2368.0
42101022000,1623.0
42101000200,2683.0
42101000600,1207.0
42101002200,2385.0
42101002300,2930.0
42101004101,6168.0
42101004202,5447.0
42101005500,6864.0
42101006900,2557.0
42101007700,2020.0
42101011000,3888.0
42101011200,5959.0
42101004102,9509.0
42101015800,6207.0
42101009400,4157.0
42101009500,3135.0
42101036301,3615.0
42101035302,4340.0
42101035500,7193.0
42101036203,5221.0
42101036400,969.0
42101020500,2505.0
42101021800,4958.0
42101021900,1428.0
42101025500,2808.0
42101025600,2634.0
42101026301,3969.0
42101027000,2840.0
42101024700,4201.0
42101003800,3829.0
42101012500,5287.0
42101021000,5042.0
42101034702,3814.0
42101026600,6838.0
42101010400,4232.0
42101013200,2609.0
42101017601,5506.0
42101003600,6820.0
42101017000,3105.0
42101024300,3472.0
42101027600,3520.0
42101001600,2261.0
42101003902,5650.0
42101007800,4588.0
42101009300,4257.0
42101032100,4148.0
42101021400,4349.0
42101034900,5463.0
42101026900,2226.0
42101029200,4848.0
42101031300,7487.0
42101032500,6079.0
42101001400,4169.0
42101036302,3517.0
42101020102,2805.0
42101031101,5765.0
42101031102,4366.0
42101019502,3529.0
42101019501,4704.0
42101028901,4178.0
42101028902,6732.0
42101033101,4717.0
42101033102,3486.0
42101031501,6397.0
42101030501,6114.0
42101030502,6791.0
42101009802,6427.0
42101035602,3410.0
42101018001,3027.0
42101017702,5360.0
42101017701,3849.0
42101035701,5017.0
42101035702,4031.0
42101035601,5812.0
42101015101,2152.0
42101015102,3416.0
42101036501,5262.0
42101980400,0.0
42101013402,2913.0
42101013401,2276.0
42101038000,2282.0
42101013601,2654.0
42101037900,5040.0
42101038200,2798.0
42101038100,834.0
42101038400,2474.0
42101001002,3309.0
42101001001,2572.0
42101000402,3299.0
42101000401,2632.0
42101012204,3973.0
42101012203,469.0
42101013602,3593.0
42101034501,3597.0
42101034502,5380.0
42101001102,2556.0
42101000902,2653.0
42101000901,1949.0
42101017201,2870.0
42101017202,3112.0
