fips,car_truck_van,public_transit_total,bus,trolley,subway,railroad,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_at_home
42101028000,629.0,368.0,233.0,0.0,57.0,78.0,0.0,0.0,0.0,0.0,37.0,0.0,29.0
42101029400,458.0,243.0,198.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,65.0
42101030000,1057.0,864.0,674.0,0.0,133.0,57.0,0.0,0.0,0.0,11.0,122.0,0.0,80.0
42101018800,1557.0,373.0,218.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0
42101019100,2141.0,360.0,293.0,0.0,29.0,38.0,0.0,0.0,0.0,0.0,101.0,96.0,53.0
42101019200,1379.0,515.0,260.0,0.0,255.0,0.0,0.0,0.0,0.0,13.0,177.0,18.0,81.0
42101001700,723.0,292.0,145.0,0.0,118.0,29.0,0.0,0.0,53.0,142.0,424.0,7.0,264.0
42101002500,1102.0,388.0,361.0,0.0,13.0,14.0,0.0,57.0,19.0,152.0,188.0,14.0,162.0
42101003300,1038.0,798.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,241.0,0.0,101.0
42101004002,1029.0,1016.0,527.0,12.0,477.0,0.0,0.0,0.0,0.0,45.0,149.0,0.0,0.0
42101004201,1548.0,666.0,559.0,0.0,81.0,26.0,0.0,0.0,0.0,86.0,234.0,0.0,11.0
42101005600,172.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101006700,1143.0,1117.0,1026.0,20.0,16.0,55.0,0.0,0.0,0.0,0.0,111.0,75.0,5.0
42101007000,529.0,591.0,522.0,47.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,8.0
42101008000,679.0,724.0,501.0,85.0,125.0,13.0,0.0,7.0,0.0,224.0,101.0,50.0,28.0
42101028800,720.0,327.0,297.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,52.0,19.0,63.0
42101029800,1311.0,358.0,265.0,0.0,70.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,88.0
